playerID,inducted,round,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
planked01,Y,WS,6,0,1,0,0,0,0,0,0.0,0,2,0.0,0.0,0.0,0.0,1.0
tinkejo01,Y,WS,18,4,3,0,0,0,1,3,0.0,2,2,0.0,0.0,3.0,0.0,0.0
walshed01,Y,WS,4,1,0,0,0,0,0,0,0.0,3,3,0.0,0.0,0.0,0.0,0.0
hubbeca01,Y,WS,7,0,2,0,0,0,0,0,0.0,0,0,0.0,0.0,1.0,0.0,0.0
friscfr01,Y,WS,30,5,9,0,1,0,1,3,0.0,4,3,0.0,0.0,0.0,0.0,0.0
cochrmi01,Y,WS,15,5,6,1,0,0,0,0,0.0,7,0,0.0,0.0,0.0,0.0,1.0
grovele01,Y,WS,2,0,0,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
pennohe01,Y,WS,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
traynpi01,Y,WS,26,2,9,0,2,1,4,1,0.0,3,1,0.0,0.0,0.0,1.0,1.0
gehrich01,Y,WS,29,5,11,1,0,1,2,1,0.0,3,0,0.0,0.0,1.0,0.0,0.0
brownmo01,Y,WS,6,0,2,0,0,0,0,0,0.0,0,4,0.0,0.0,1.0,0.0,0.0
nichoki01,Y,CS,7,1,2,0,0,0,2,1,,0,1,0.0,,,,
ottme01,Y,WS,18,3,7,0,0,2,4,0,1.0,4,4,1.0,0.0,0.0,0.0,0.0
foxxji01,Y,WS,20,5,7,1,0,2,5,0,0.0,1,1,1.0,0.0,0.0,0.0,1.0
wanerpa01,Y,WS,15,0,5,1,0,0,3,0,0.0,0,1,0.0,0.0,0.0,2.0,0.0
deandi01,Y,WS,12,3,3,2,0,0,1,0,0.0,0,3,0.0,0.0,0.0,0.0,0.0
simmoal01,Y,WS,20,6,6,1,0,2,5,0,0.0,1,4,0.0,0.0,0.0,1.0,0.0
bendech01,Y,WS,5,0,0,0,0,0,0,0,0.0,0,1,0.0,0.0,1.0,0.0,0.0
maranra01,Y,WS,13,1,4,0,0,0,3,2,1.0,1,1,0.0,1.0,1.0,0.0,0.0
dickebi01,Y,WS,16,2,7,0,0,0,4,0,1.0,2,1,1.0,1.0,0.0,0.0,1.0
terrybi01,Y,WS,14,3,6,0,1,1,1,0,0.0,3,1,1.0,0.0,0.0,0.0,0.0
dimagjo01,Y,WS,26,3,9,3,0,0,3,0,0.0,1,3,0.0,0.0,1.0,0.0,1.0
vanceda01,Y,WS,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
hartnga01,Y,WS,3,0,0,0,0,0,0,0,0.0,0,3,0.0,0.0,0.0,0.0,0.0
bakerfr01,Y,WS,22,6,9,3,1,0,4,0,3.0,2,1,0.0,0.0,0.0,0.0,0.0
schalra01,Y,WS,19,1,5,0,0,0,0,1,1.0,2,1,0.0,0.0,0.0,0.0,0.0
greenha01,Y,WS,28,4,9,2,1,1,7,1,0.0,4,9,0.0,0.0,0.0,0.0,0.0
cronijo01,Y,WS,22,1,7,0,0,0,2,0,0.0,0,2,0.0,0.0,0.0,0.0,1.0
crawfsa01,Y,WS,21,1,5,1,0,0,3,0,0.0,0,3,0.0,0.0,0.0,0.0,0.0
wheatza01,Y,WS,19,2,4,0,1,0,1,1,1.0,2,2,1.0,0.0,0.0,0.0,0.0
careyma01,Y,WS,24,6,11,4,0,0,2,3,1.0,2,3,0.0,3.0,2.0,0.0,0.0
fellebo01,Y,WS,4,0,0,0,0,0,0,0,0.0,0,2,0.0,0.0,1.0,0.0,0.0
robinja02,Y,WS,27,3,7,2,0,0,3,2,0.0,2,4,0.0,0.0,1.0,0.0,0.0
roushed01,Y,WS,28,6,6,2,1,0,7,2,1.0,3,0,0.0,2.0,1.0,0.0,1.0
clarkjo01,Y,WS,13,1,2,1,0,0,0,0,,0,0,0.0,,,,
ricesa01,Y,WS,29,2,6,0,0,0,1,2,0.0,3,2,0.0,0.0,1.0,0.0,1.0
rixeyep01,Y,WS,2,0,1,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
faberre01,Y,WS,7,0,1,0,0,0,0,0,0.0,2,3,0.0,0.0,1.0,0.0,0.0
grimebu01,Y,WS,6,1,2,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,1.0
keefeti01,Y,WS,5,0,1,0,0,0,0,0,,0,4,0.0,,,,
manushe01,Y,WS,18,2,2,0,0,0,0,0,0.0,2,1,0.0,0.0,0.0,0.0,0.0
wardjo01,Y,WS,29,4,11,1,0,0,6,6,,1,0,0.0,,,,
willite01,Y,WS,25,2,5,0,0,0,1,0,0.0,5,5,1.0,0.0,0.0,0.0,0.0
stengca01,Y,WS,11,2,4,0,0,0,0,0,0.0,0,1,0.0,0.0,1.0,0.0,0.0
ruffire01,Y,WS,4,0,0,0,0,0,0,0,0.0,1,1,1.0,0.0,0.0,0.0,0.0
wanerll01,Y,WS,15,5,6,1,1,0,0,0,0.0,1,0,0.0,1.0,1.0,0.0,0.0
medwijo01,Y,WS,29,4,11,0,1,1,5,0,0.0,1,7,0.0,0.0,0.0,0.0,1.0
cuyleki01,Y,WS,26,3,7,3,0,1,6,0,0.0,1,4,0.0,1.0,3.0,0.0,0.0
gosligo01,Y,WS,32,4,11,1,0,3,7,0,2.0,0,7,0.0,0.0,0.0,0.0,0.0
musiast01,Y,WS,18,2,4,1,0,0,2,0,1.0,4,0,2.0,0.0,0.0,0.0,0.0
camparo01,Y,WS,15,2,4,1,0,1,2,0,0.0,3,1,1.0,0.0,0.0,0.0,0.0
covelst01,Y,WS,10,2,1,0,0,0,0,0,0.0,0,4,0.0,0.0,0.0,0.0,0.0
hoytwa01,Y,WS,9,0,2,0,0,0,1,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
boudrlo01,Y,WS,22,1,6,4,0,0,3,0,0.0,1,1,0.0,1.0,0.0,0.0,2.0
combsea01,Y,WS,28,3,10,2,0,0,2,0,0.0,5,2,0.0,0.0,0.0,0.0,0.0
haineje01,Y,WS,5,1,3,0,0,1,2,0,0.0,0,1,0.0,0.0,1.0,0.0,0.0
bancrda01,Y,WS,17,2,5,0,0,0,1,0,2.0,2,2,0.0,0.0,1.0,0.0,0.0
hafeych01,Y,WS,27,2,5,2,0,0,0,0,1.0,0,7,0.0,0.0,2.0,0.0,0.0
hoopeha01,Y,WS,31,3,9,2,1,0,2,1,1.0,4,4,0.0,0.0,1.0,1.0,0.0
marquru01,Y,WS,2,0,0,0,0,0,0,0,0.0,0,2,0.0,0.0,0.0,0.0,0.0
paigesa01,Y,WS,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
koufasa01,Y,WS,2,0,0,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
berrayo01,Y,WS,19,2,3,0,0,1,2,0,0.0,1,2,1.0,0.0,0.0,0.0,0.0
wynnea01,Y,WS,2,0,1,1,0,0,0,0,0.0,0,1,0.0,0.0,1.0,0.0,0.0
gomezle01,Y,WS,3,0,0,0,0,0,0,0,0.0,0,2,0.0,0.0,0.0,0.0,0.0
youngro01,Y,WS,25,3,7,1,1,0,4,2,1.0,7,2,0.0,0.0,1.0,0.0,0.0
spahnwa01,Y,WS,4,0,0,0,0,0,1,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
clemero01,Y,WS,29,1,9,0,0,0,3,0,0.0,0,4,0.0,0.0,0.0,0.0,1.0
irvinmo01,Y,WS,24,3,11,0,1,0,2,2,1.0,2,1,0.0,0.0,0.0,0.0,0.0
kellyge01,Y,WS,30,3,7,1,0,0,4,0,1.0,3,10,0.0,0.0,0.0,0.0,3.0
welchmi01,Y,WS,7,2,2,0,0,0,1,0,,0,0,0.0,,,,
mantlmi01,Y,WS,5,1,1,0,0,0,0,0,0.0,2,1,0.0,0.0,0.0,0.0,0.0
fordwh01,Y,WS,3,0,0,0,0,0,0,0,0.0,0,2,0.0,0.0,0.0,0.0,0.0
bottoji01,Y,WS,29,4,10,3,0,0,5,0,1.0,1,2,0.0,0.0,1.0,0.0,0.0
thompsa01,Y,WS,58,8,21,2,0,2,7,5,,3,3,0.0,,,,
averiea01,Y,WS,3,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
harribu01,Y,WS,33,5,11,0,0,2,7,0,1.0,1,4,0.0,0.0,0.0,0.0,0.0
hermabi01,Y,WS,18,5,4,1,0,0,1,0,0.0,1,3,0.0,0.0,0.0,0.0,0.0
roberro01,Y,WS,2,0,0,0,0,0,0,0,0.0,0,1,0.0,0.0,1.0,0.0,0.0
lemonbo01,Y,WS,7,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
connoro01,Y,WS,23,7,7,1,2,0,3,4,,4,0,0.0,,,,
lindsfr01,Y,WS,30,1,10,2,0,0,4,0,2.0,3,6,0.0,0.0,1.0,0.0,0.0
seweljo01,Y,WS,23,0,4,0,0,0,0,0,2.0,2,1,0.0,0.0,0.0,0.0,1.0
matheed01,Y,WS,22,4,5,3,0,1,4,0,0.0,8,5,0.0,0.0,1.0,0.0,1.0
mayswi01,Y,WS,22,1,4,0,0,0,1,0,0.0,2,2,0.0,0.0,0.0,0.0,3.0
wilsoha01,Y,WS,30,1,7,1,0,0,3,0,0.0,1,9,0.0,0.0,1.0,0.0,2.0
kalinal01,Y,WS,29,6,11,2,0,2,8,0,0.0,0,7,0.0,1.0,0.0,0.0,0.0
snidedu01,Y,WS,21,2,3,1,0,0,0,0,0.0,0,8,0.0,0.0,0.0,0.0,1.0
kleinch01,Y,WS,12,2,4,0,0,1,2,0,0.0,0,2,0.0,0.0,0.0,0.0,0.0
gibsobo01,Y,WS,9,1,2,0,0,0,0,0,0.0,0,3,0.0,0.0,1.0,0.0,0.0
mizejo01,Y,WS,2,0,2,0,0,0,2,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
aaronha01,Y,WS,28,5,11,0,1,3,7,0,0.0,1,6,0.0,0.0,0.0,0.0,0.0
robinfr02,Y,WS,15,3,3,2,0,1,4,0,0.0,3,4,0.0,2.0,0.0,0.0,0.0
jackstr01,Y,WS,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
robinbr01,Y,WS,14,2,3,0,0,1,1,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0
maricju01,Y,WS,2,0,0,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
aparilu01,Y,WS,26,1,8,1,0,0,0,1,1.0,2,3,0.0,0.0,1.0,0.0,0.0
killeha01,Y,WS,21,2,6,0,0,1,2,0,0.0,6,4,0.0,0.0,0.0,0.0,0.0
drysddo01,Y,WS,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
reesepe01,Y,WS,20,1,4,0,0,0,2,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
wilheho01,Y,WS,1,0,0,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
brocklo01,Y,WS,30,2,9,2,0,1,5,0,0.0,0,3,0.0,0.0,0.0,0.0,0.0
slaugen01,Y,WS,19,3,5,1,0,1,2,0,0.0,3,2,0.0,0.0,0.0,0.0,1.0
vaughar01,Y,WS,2,0,1,1,0,0,0,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0
mccovwi01,Y,WS,15,2,3,0,1,1,1,0,0.0,1,3,0.0,0.0,0.0,0.0,0.0
doerrbo01,Y,WS,22,1,9,1,0,1,3,0,0.0,2,2,0.0,0.0,0.0,0.0,0.0
lombaer01,Y,WS,14,0,3,0,0,0,2,0,0.0,0,1,0.0,1.0,0.0,0.0,1.0
hunteca01,Y,WS,5,0,1,0,0,0,1,0,0.0,2,1,0.0,0.0,0.0,0.0,0.0
stargwi01,Y,WS,24,3,5,1,0,0,1,0,0.0,7,9,0.0,0.0,0.0,0.0,0.0
